Codigo_Departamento,Departamento,Codigo_Municipio,Municipio,Municipio_Departamento,Población,Distancia_IPS_Nivel_1_Modelo,Distancia_IPS_Nivel_2_Modelo,Distancia_IPS_Nivel_3_Modelo,Distancia_Poblacion_IPS_Nivel_1_Modelo,Distancia_Poblacion_IPS_Nivel_2_Modelo,Distancia_Poblacion_IPS_Nivel_3_Modelo,Distancia_IPS_Nivel_1_Publicas,Distancia_IPS_Nivel_2_Publicas,Distancia_IPS_Nivel_3_Publicas,Distancia_Poblacion_IPS_Nivel_1_Publicas,Distancia_Poblacion_IPS_Nivel_2_Publicas,Distancia_Poblacion_IPS_Nivel_3_Publicas
8,Atlántico,8078,Baranoa,Baranoa (Atlántico),68424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2310032008278,19.2310032008278,0.0,0.02551053137961081,0.02551053137961081
8,Atlántico,8634,Sabanagrande,Sabanagrande (Atlántico),35630,0.0,0.0,11.988875970619407,0.0,0.0,0.008281393009928329,0.0,11.988875970619407,11.988875970619407,0.0,0.008281393009928329,0.008281393009928329
8,Atlántico,8558,Polonuevo,Polonuevo (Atlántico),19840,0.0,7.974135430785023,7.974135430785023,0.0,0.003067145516413605,0.003067145516413605,0.0,17.512328017252468,17.512328017252468,0.0,0.0067358848901306455,0.0067358848901306455
8,Atlántico,8549,Piojó,Piojó (Atlántico),7207,0.0,11.7530533457536,24.427675647266312,0.0,0.0016421557118284852,0.0034130745356775946,0.0,24.427675647266312,24.427675647266312,0.0,0.0034130745356775946,0.0034130745356775946
8,Atlántico,8849,Usiacurí,Usiacurí (Atlántico),13438,0.0,8.821945833953194,8.821945833953194,0.0,0.0022983074745575685,0.0022983074745575685,0.0,13.39781914234013,13.39781914234013,0.0,0.003490421326222594,0.003490421326222594
13,Bolívar,13673,Santa Catalina,Santa Catalina (Bolívar),15739,0.0,12.30444847626304,29.548648342734253,0.0,0.003754467879931374,0.009016206724925584,0.0,29.548648342734253,29.548648342734253,0.0,0.009016206724925584,0.009016206724925584
8,Atlántico,8685,Santo Tomás,Santo Tomás (Atlántico),32717,0.0,5.199412250081656,15.334163667712096,0.0,0.0032978950654327702,0.009726188318976243,0.0,16.761509702546572,16.761509702546572,0.0,0.010631528618713339,0.010631528618713339
8,Atlántico,8520,Palmar de Varela,Palmar de Varela (Atlántico),31754,0.0,11.504270977708082,19.88071542794956,0.0,0.007082174919689968,0.012238820214000919,0.0,21.759243611480805,21.759243611480805,0.0,0.013395265956031435,0.013395265956031435
47,Magdalena,47268,El Retén,El Retén (Magdalena),21406,0.0,22.088876988406124,56.6180186675371,0.0,0.009166810711199385,0.023496290021483613,0.0,26.824372285489893,56.6180186675371,0.0,0.011132025558243275,0.023496290021483613
47,Magdalena,47605,Remolino,Remolino (Magdalena),12597,0.0,24.526556781132207,35.80834714232903,0.0,0.005989806850351828,0.008745014024059743,0.0,30.14836912830992,35.80834714232903,0.0,0.007362750081193833,0.008745014024059743
8,Atlántico,8638,Sabanalarga,Sabanalarga (Atlántico),102325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Atlántico,8560,Ponedera,Ponedera (Atlántico),26184,0.0,0.0,17.414903913651344,0.0,0.0,0.008840283256175863,0.0,17.414903913651344,17.414903913651344,0.0,0.008840283256175863,0.008840283256175863
8,Atlántico,8421,Luruaco,Luruaco (Atlántico),30640,0.0,0.0,21.81048141610149,0.0,0.0,0.012955766688525747,0.0,21.81048141610149,21.81048141610149,0.0,0.012955766688525747,0.012955766688525747
13,Bolívar,13001,Cartagena de Indias,Cartagena de Indias (Bolívar),1043185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Cesar,20570,Pueblo Bello,Pueblo Bello (Cesar),30292,0.0,27.862773183122123,27.862773183122123,0.0,0.016362942096236063,0.016362942096236063,0.0,27.862773183122123,83.36706384002754,0.0,0.016362942096236063,0.0489588896762763
47,Magdalena,47551,Pivijay,Pivijay (Magdalena),41019,0.0,0.0,62.98042346398481,0.0,0.0,0.05008408578192769,0.0,0.0,62.98042346398481,0.0,0.0,0.05008408578192769
44,La Guajira,44874,Villanueva,Villanueva (La Guajira),32431,0.0,28.15591660888289,66.48960131829641,0.0,0.01770268396658354,0.04180451361439935,0.0,28.15591660888289,115.95972262666766,0.0,0.01770268396658354,0.07290823989246181
44,La Guajira,44110,El Molino,El Molino (La Guajira),8237,0.0,29.37781695705853,77.83406815147875,0.0,0.004691348460542621,0.012429335247542157,0.0,29.37781695705853,121.73858245162025,0.0,0.004691348460542621,0.019440454415243013
47,Magdalena,47288,Fundación,Fundación (Magdalena),73170,0.0,0.0,53.72721869429029,0.0,0.0,0.07621430958937256,0.0,0.0,73.28316676085923,0.0,0.0,0.10395524084322824
