Codigo,DPNOM,MPIO,Municipio_y,Municipio_Departamento,IPS_2022,IPS/Habitantes
41,Huila,41020,Algeciras,Algeciras (Huila),2.0,8.0
54,Norte de Santander,54174,Chitagá,Chitagá (Norte de Santander),1.0,8.0
13,Bolívar,13490,,Norosí (Bolívar),1.0,9.0
5,Antioquia,5670,San Roque,San Roque (Antioquia),2.0,9.0
5,Antioquia,5541,Peñol,Peñol (Antioquia),2.0,9.0
91,Amazonas,91540,Puerto Nariño,Puerto Nariño (Amazonas),1.0,9.0
25,Cundinamarca,25099,Bojacá,Bojacá (Cundinamarca),1.0,9.0
25,Cundinamarca,25407,Lenguazaque,Lenguazaque (Cundinamarca),1.0,9.0
54,Norte de Santander,54344,Hacarí,Hacarí (Norte de Santander),1.0,9.0
50,Meta,50577,Puerto Lleras,Puerto Lleras (Meta),1.0,9.0
5,Antioquia,5148,El Carmen de Viboral,El Carmen de Viboral (Antioquia),6.0,9.0
73,Tolima,73148,Carmen de Apicalá,Carmen de Apicalá (Tolima),1.0,9.0
94,Guainía,94343,Barrancominas,Barrancominas (Guainía),1.0,9.0
15,Boyacá,15223,Cubará,Cubará (Boyacá),1.0,9.0
13,Bolívar,13440,Margarita,Margarita (Bolívar),1.0,9.0
5,Antioquia,5809,Titiribí,Titiribí (Antioquia),1.0,9.0
41,Huila,41660,Saladoblanco,Saladoblanco (Huila),1.0,9.0
41,Huila,41676,Santa María,Santa María (Huila),1.0,9.0
17,Caldas,17050,Aranzazu,Aranzazu (Caldas),1.0,9.0
17,Caldas,17088,Belalcázar,Belalcázar (Caldas),1.0,9.0
18,Caquetá,18094,Belén de Los Andaquíes,Belén de Los Andaquíes (Caquetá),1.0,9.0
17,Caldas,17616,Risaralda,Risaralda (Caldas),1.0,9.0
86,Putumayo,86573,Puerto Leguízamo,Puerto Leguízamo (Putumayo),3.0,9.0
5,Antioquia,5091,Betania,Betania (Antioquia),1.0,9.0
68,Santander,68464,Mogotes,Mogotes (Santander),1.0,9.0
17,Caldas,17013,Aguadas,Aguadas (Caldas),2.0,9.0
17,Caldas,17486,Neira,Neira (Caldas),2.0,9.0
41,Huila,41668,San Agustín,San Agustín (Huila),3.0,9.0
66,Risaralda,66682,Santa Rosa de Cabal,Santa Rosa de Cabal (Risaralda),7.0,9.0
73,Tolima,73520,Palocabildo,Palocabildo (Tolima),1.0,10.0
73,Tolima,73870,Villahermosa,Villahermosa (Tolima),1.0,10.0
25,Cundinamarca,25873,Villapinzón,Villapinzón (Cundinamarca),2.0,10.0
73,Tolima,73043,Anzoátegui,Anzoátegui (Tolima),1.0,10.0
19,Cauca,19517,Páez,Páez (Cauca),5.0,10.0
17,Caldas,17867,Victoria,Victoria (Caldas),1.0,10.0
25,Cundinamarca,25295,Gachancipá,Gachancipá (Cundinamarca),2.0,10.0
19,Cauca,19142,Caloto,Caloto (Cauca),3.0,10.0
23,Córdoba,23678,San Carlos,San Carlos (Córdoba),3.0,10.0
25,Cundinamarca,25151,Cáqueza,Cáqueza (Cundinamarca),2.0,10.0
5,Antioquia,5411,Liborina,Liborina (Antioquia),1.0,10.0
85,Casanare,85225,Nunchía,Nunchía (Casanare),1.0,10.0
25,Cundinamarca,25535,Pasca,Pasca (Cundinamarca),1.0,10.0
5,Antioquia,5237,Donmatías,Donmatías (Antioquia),2.0,10.0
25,Cundinamarca,25394,La Palma,La Palma (Cundinamarca),1.0,10.0
19,Cauca,19785,Sucre,Sucre (Cauca),1.0,10.0
5,Antioquia,5113,Buriticá,Buriticá (Antioquia),1.0,10.0
5,Antioquia,5134,Campamento,Campamento (Antioquia),1.0,10.0
13,Bolívar,13744,Simití,Simití (Bolívar),2.0,10.0
52,Nariño,52405,Leiva,Leiva (Nariño),1.0,10.0
17,Caldas,17873,Villamaría,Villamaría (Caldas),7.0,10.0
73,Tolima,73124,Cajamarca,Cajamarca (Tolima),2.0,10.0
73,Tolima,73067,Ataco,Ataco (Tolima),2.0,10.0
54,Norte de Santander,54261,El Zulia,El Zulia (Norte de Santander),3.0,10.0
5,Antioquia,5893,Yondó,Yondó (Antioquia),2.0,10.0
5,Antioquia,5040,Anorí,Anorí (Antioquia),2.0,10.0
19,Cauca,19513,Padilla,Padilla (Cauca),1.0,10.0
54,Norte de Santander,54405,Los Patios,Los Patios (Norte de Santander),11.0,11.0
50,Meta,50350,La Macarena,La Macarena (Meta),3.0,11.0
5,Antioquia,5576,Pueblorrico,Pueblorrico (Antioquia),1.0,11.0
5,Antioquia,5308,Girardota,Girardota (Antioquia),6.0,11.0
25,Cundinamarca,25438,Medina,Medina (Cundinamarca),1.0,11.0
25,Cundinamarca,25793,Tausa,Tausa (Cundinamarca),1.0,11.0
25,Cundinamarca,25297,Gachetá,Gachetá (Cundinamarca),1.0,11.0
25,Cundinamarca,25649,San Bernardo,San Bernardo (Cundinamarca),1.0,11.0
25,Cundinamarca,25322,Guasca,Guasca (Cundinamarca),2.0,11.0
25,Cundinamarca,25754,Soacha,Soacha (Cundinamarca),82.0,11.0
17,Caldas,17442,Marmato,Marmato (Caldas),1.0,11.0
17,Caldas,17433,Manzanares,Manzanares (Caldas),2.0,11.0
68,Santander,68669,San Andrés,San Andrés (Santander),1.0,11.0
5,Antioquia,5125,Caicedo,Caicedo (Antioquia),1.0,11.0
5,Antioquia,5321,Guatapé,Guatapé (Antioquia),1.0,11.0
50,Meta,50450,Puerto Concordia,Puerto Concordia (Meta),1.0,11.0
5,Antioquia,5628,Sabanalarga,Sabanalarga (Antioquia),1.0,11.0
5,Antioquia,5642,Salgar,Salgar (Antioquia),2.0,11.0
5,Antioquia,5361,Ituango,Ituango (Antioquia),3.0,11.0
54,Norte de Santander,54223,Cucutilla,Cucutilla (Norte de Santander),1.0,11.0
63,Quindio,63470,Montenegro,Montenegro (Quindío),4.0,11.0
18,Caquetá,18256,El Paujíl,El Paujíl (Caquetá),2.0,11.0
19,Cauca,19364,Jambaló,Jambaló (Cauca),2.0,11.0
73,Tolima,73408,Lérida,Lérida (Tolima),2.0,11.0
19,Cauca,19821,Toribío,Toribío (Cauca),4.0,11.0
73,Tolima,73555,Planadas,Planadas (Tolima),3.0,11.0
15,Boyacá,15837,Tuta,Tuta (Boyacá),1.0,11.0
15,Boyacá,15480,Muzo,Muzo (Boyacá),1.0,11.0
15,Boyacá,15814,Toca,Toca (Boyacá),1.0,11.0
19,Cauca,19130,Cajibío,Cajibío (Cauca),5.0,11.0
13,Bolívar,13248,El Guamo,El Guamo (Bolívar),1.0,11.0
66,Risaralda,66594,Quinchía,Quinchía (Risaralda),3.0,11.0
13,Bolívar,13838,Turbaná,Turbaná (Bolívar),2.0,11.0
15,Boyacá,15804,Tibaná,Tibaná (Boyacá),1.0,11.0
73,Tolima,73563,Prado,Prado (Tolima),1.0,11.0
41,Huila,41078,Baraya,Baraya (Huila),1.0,11.0
73,Tolima,73026,Alvarado,Alvarado (Tolima),1.0,11.0
41,Huila,41791,Tarqui,Tarqui (Huila),2.0,11.0
76,Valle del Cauca,76243,El Águila,El Águila (Valle del cauca),1.0,11.0
27,Chocó,27495,Nuquí,Nuquí (Chocó),2.0,11.0
41,Huila,41006,Acevedo,Acevedo (Huila),3.0,11.0
76,Valle del Cauca,76250,El Dovio,El Dovio (Valle del cauca),1.0,11.0
41,Huila,41524,Palermo,Palermo (Huila),3.0,11.0
76,Valle del Cauca,76670,San Pedro,San Pedro (Valle del cauca),2.0,11.0
41,Huila,41013,Agrado,Agrado (Huila),1.0,11.0
76,Valle del Cauca,76041,Ansermanuevo,Ansermanuevo (Valle del cauca),2.0,11.0
41,Huila,41801,Teruel,Teruel (Huila),1.0,12.0
5,Antioquia,5390,La Pintada,La Pintada (Antioquia),1.0,12.0
5,Antioquia,5543,Peque,Peque (Antioquia),1.0,12.0
70,Sucre,70124,Caimito,Caimito (Sucre),2.0,12.0
23,Córdoba,23574,Puerto Escondido,Puerto Escondido (Córdoba),3.0,12.0
73,Tolima,73504,Ortega,Ortega (Tolima),4.0,12.0
5,Antioquia,5789,Támesis,Támesis (Antioquia),2.0,12.0
5,Antioquia,5656,San Jerónimo,San Jerónimo (Antioquia),2.0,12.0
5,Antioquia,5425,Maceo,Maceo (Antioquia),1.0,12.0
23,Córdoba,23090,Canalete,Canalete (Córdoba),2.0,12.0
95,Guaviare,95025,El Retorno,El Retorno (Guaviare),2.0,12.0
13,Bolívar,13268,El Peñón,El Peñón (Bolívar),1.0,12.0
13,Bolívar,13473,Morales,Morales (Bolívar),3.0,12.0
41,Huila,41885,Yaguará,Yaguará (Huila),1.0,12.0
5,Antioquia,5093,Betulia,Betulia (Antioquia),2.0,12.0
5,Antioquia,5234,Dabeiba,Dabeiba (Antioquia),3.0,12.0
41,Huila,41306,Gigante,Gigante (Huila),3.0,12.0
68,Santander,68051,Aratoca,Aratoca (Santander),1.0,12.0
25,Cundinamarca,25154,Carmen de Carupa,Carmen de Carupa (Cundinamarca),1.0,12.0
73,Tolima,73236,Dolores,Dolores (Tolima),1.0,12.0
18,Caquetá,18150,Cartagena del Chairá,Cartagena del Chairá (Caquetá),4.0,12.0
15,Boyacá,15491,Nobsa,Nobsa (Boyacá),2.0,12.0
5,Antioquia,5282,Fredonia,Fredonia (Antioquia),3.0,12.0
54,Norte de Santander,54313,Gramalote,Gramalote (Norte de Santander),1.0,12.0
25,Cundinamarca,25224,Cucunubá,Cucunubá (Cundinamarca),1.0,12.0
25,Cundinamarca,25312,Granada,Granada (Cundinamarca),1.0,12.0
76,Valle del Cauca,76377,La Cumbre,La Cumbre (Valle del cauca),2.0,12.0
73,Tolima,73200,Coello,Coello (Tolima),1.0,12.0
19,Cauca,19137,Caldono,Caldono (Cauca),5.0,12.0
15,Boyacá,15507,Otanche,Otanche (Boyacá),1.0,12.0
15,Boyacá,15600,Ráquira,Ráquira (Boyacá),1.0,12.0
15,Boyacá,15757,Socha,Socha (Boyacá),1.0,12.0
15,Boyacá,15183,Chita,Chita (Boyacá),1.0,12.0
27,Chocó,27077,Bajo Baudó,Bajo Baudó (Chocó),4.0,12.0
66,Risaralda,66440,Marsella,Marsella (Risaralda),2.0,12.0
68,Santander,68872,Villanueva,Villanueva (Santander),1.0,12.0
50,Meta,50251,El Castillo,El Castillo (Meta),1.0,12.0
5,Antioquia,5665,San Pedro de Urabá,San Pedro de Urabá (Antioquia),4.0,12.0
25,Cundinamarca,25785,Tabio,Tabio (Cundinamarca),3.0,12.0
5,Antioquia,5055,Argelia,Argelia (Antioquia),1.0,13.0
5,Antioquia,5885,Yalí,Yalí (Antioquia),1.0,13.0
52,Nariño,52210,Contadero,Contadero (Nariño),1.0,13.0
13,Bolívar,13580,Regidor,Regidor (Bolívar),1.0,13.0
5,Antioquia,5647,San Andrés de Cuerquía,San Andrés de Cuerquía (Antioquia),1.0,13.0
52,Nariño,52254,El Peñol,El Peñol (Nariño),1.0,13.0
17,Caldas,17777,Supía,Supía (Caldas),4.0,13.0
8,Atlántico,8520,Palmar de Varela,Palmar de Varela (Atlántico),4.0,13.0
52,Nariño,52352,Iles,Iles (Nariño),1.0,13.0
19,Cauca,19743,Silvia,Silvia (Cauca),5.0,13.0
19,Cauca,19355,Inzá,Inzá (Cauca),4.0,13.0
20,Cesar,20032,Astrea,Astrea (Cesar),3.0,13.0
20,Cesar,20621,La Paz,La Paz (Cesar),4.0,13.0
76,Valle del Cauca,76863,Versalles,Versalles (Valle del cauca),1.0,13.0
52,Nariño,52022,Aldana,Aldana (Nariño),1.0,13.0
5,Antioquia,5761,Sopetrán,Sopetrán (Antioquia),2.0,13.0
52,Nariño,52287,Funes,Funes (Nariño),1.0,13.0
25,Cundinamarca,25841,Ubaque,Ubaque (Cundinamarca),1.0,13.0
25,Cundinamarca,25845,Une,Une (Cundinamarca),1.0,13.0
18,Caquetá,18410,La Montañita,La Montañita (Caquetá),2.0,13.0
63,Quindio,63302,Génova,Génova (Quindío),1.0,13.0
54,Norte de Santander,54874,Villa del Rosario,Villa del Rosario (Norte de Santander),15.0,13.0
73,Tolima,73347,Herveo,Herveo (Tolima),1.0,13.0
73,Tolima,73270,Falan,Falan (Tolima),1.0,13.0
54,Norte de Santander,54347,Herrán,Herrán (Norte de Santander),1.0,13.0
5,Antioquia,5212,Copacabana,Copacabana (Antioquia),11.0,13.0
5,Antioquia,5380,La Estrella,La Estrella (Antioquia),10.0,13.0
5,Antioquia,5079,Barbosa,Barbosa (Antioquia),7.0,13.0
15,Boyacá,15686,Santana,Santana (Boyacá),1.0,13.0
15,Boyacá,15087,Belén,Belén (Boyacá),1.0,13.0
68,Santander,68573,Puerto Parra,Puerto Parra (Santander),1.0,13.0
15,Boyacá,15367,Jenesano,Jenesano (Boyacá),1.0,13.0
15,Boyacá,15755,Socotá,Socotá (Boyacá),1.0,13.0
95,Guaviare,95200,Miraflores,Miraflores (Guaviare),1.0,13.0
41,Huila,41872,Villavieja,Villavieja (Huila),1.0,13.0
41,Huila,41349,Hobo,Hobo (Huila),1.0,13.0
5,Antioquia,5585,Puerto Nare,Puerto Nare (Antioquia),2.0,13.0
5,Antioquia,5890,Yolombó,Yolombó (Antioquia),3.0,13.0
25,Cundinamarca,25317,Guachetá,Guachetá (Cundinamarca),2.0,13.0
5,Antioquia,5364,Jardín,Jardín (Antioquia),2.0,13.0
73,Tolima,73283,Fresno,Fresno (Tolima),4.0,13.0
73,Tolima,73217,Coyaima,Coyaima (Tolima),3.0,13.0
73,Tolima,73483,Natagaima,Natagaima (Tolima),2.0,13.0
15,Boyacá,15531,Pauna,Pauna (Boyacá),1.0,13.0
41,Huila,41206,Colombia,Colombia (Huila),1.0,13.0
66,Risaralda,66383,La Celia,La Celia (Risaralda),1.0,13.0
23,Córdoba,23815,,Tuchín (Córdoba),8.0,14.0
23,Córdoba,23682,,San José de Uré (Córdoba),2.0,14.0
13,Bolívar,13670,San Pablo,San Pablo (Bolívar),4.0,14.0
25,Cundinamarca,25779,Susa,Susa (Cundinamarca),1.0,14.0
63,Quindio,63401,La Tebaida,La Tebaida (Quindío),5.0,14.0
76,Valle del Cauca,76246,El Cairo,El Cairo (Valle del cauca),1.0,14.0
27,Chocó,27800,Unguía,Unguía (Chocó),2.0,14.0
27,Chocó,27150,Carmen del Darién,Carmen del Darién (Chocó),3.0,14.0
18,Caquetá,18860,Valparaíso,Valparaíso (Caquetá),1.0,14.0
25,Cundinamarca,25019,Albán,Albán (Cundinamarca),1.0,14.0
54,Norte de Santander,54245,El Carmen,El Carmen (Norte de Santander),2.0,14.0
54,Norte de Santander,54743,Silos,Silos (Norte de Santander),1.0,14.0
73,Tolima,73671,Saldaña,Saldaña (Tolima),2.0,14.0
73,Tolima,73319,Guamo,Guamo (Tolima),5.0,14.0
41,Huila,41518,Paicol,Paicol (Huila),1.0,14.0
5,Antioquia,5368,Jericó,Jericó (Antioquia),2.0,14.0
27,Chocó,27372,Juradó,Juradó (Chocó),1.0,14.0
52,Nariño,52694,San Pedro de Cartago,San Pedro de Cartago (Nariño),1.0,14.0
52,Nariño,52506,Ospina,Ospina (Nariño),1.0,14.0
5,Antioquia,5044,Anzá,Anzá (Antioquia),1.0,14.0
5,Antioquia,5842,Uramita,Uramita (Antioquia),1.0,14.0
5,Antioquia,5467,Montebello,Montebello (Antioquia),1.0,14.0
17,Caldas,17662,Samaná,Samaná (Caldas),3.0,14.0
19,Cauca,19760,Sotará Paispamba,Sotará Paispamba (Cauca),2.0,14.0
25,Cundinamarca,25473,Mosquera,Mosquera (Cundinamarca),20.0,14.0
76,Valle del Cauca,76736,Sevilla,Sevilla (Valle del cauca),6.0,14.0
25,Cundinamarca,25335,Guayabetal,Guayabetal (Cundinamarca),1.0,14.0
54,Norte de Santander,54377,Labateca,Labateca (Norte de Santander),1.0,14.0
15,Boyacá,15681,San Pablo de Borbur,San Pablo de Borbur (Boyacá),1.0,14.0
15,Boyacá,15542,Pesca,Pesca (Boyacá),1.0,14.0
15,Boyacá,15272,Firavitoba,Firavitoba (Boyacá),1.0,14.0
15,Boyacá,15740,Siachoque,Siachoque (Boyacá),1.0,14.0
68,Santander,68307,Girón,Girón (Santander),25.0,14.0
18,Caquetá,18610,San José del Fragua,San José del Fragua (Caquetá),2.0,15.0
68,Santander,68377,La Belleza,La Belleza (Santander),1.0,15.0
23,Córdoba,23300,Cotorra,Cotorra (Córdoba),3.0,15.0
5,Antioquia,5856,Valparaíso,Valparaíso (Antioquia),1.0,15.0
86,Putumayo,86757,San Miguel,San Miguel (Putumayo),3.0,15.0
17,Caldas,17877,Viterbo,Viterbo (Caldas),2.0,15.0
68,Santander,68615,Rionegro,Rionegro (Santander),4.0,15.0
25,Cundinamarca,25377,La Calera,La Calera (Cundinamarca),5.0,15.0
66,Risaralda,66075,Balboa,Balboa (Risaralda),1.0,15.0
5,Antioquia,5660,San Luis,San Luis (Antioquia),2.0,15.0
25,Cundinamarca,25772,Suesca,Suesca (Cundinamarca),3.0,15.0
25,Cundinamarca,25402,La Vega,La Vega (Cundinamarca),3.0,15.0
25,Cundinamarca,25885,Yacopí,Yacopí (Cundinamarca),2.0,15.0
25,Cundinamarca,25001,Agua de Dios,Agua de Dios (Cundinamarca),2.0,15.0
68,Santander,68655,Sabana de Torres,Sabana de Torres (Santander),5.0,15.0
5,Antioquia,5101,Ciudad Bolívar,Ciudad Bolívar (Antioquia),4.0,15.0
5,Antioquia,5736,Segovia,Segovia (Antioquia),6.0,15.0
25,Cundinamarca,25736,Sesquilé,Sesquilé (Cundinamarca),2.0,15.0
52,Nariño,52385,La Llanada,La Llanada (Nariño),1.0,15.0
41,Huila,41483,Nátaga,Nátaga (Huila),1.0,15.0
19,Cauca,19455,Miranda,Miranda (Cauca),5.0,15.0
15,Boyacá,15776,Sutamarchán,Sutamarchán (Boyacá),1.0,15.0
73,Tolima,73678,San Luis,San Luis (Tolima),2.0,15.0
73,Tolima,73861,Venadillo,Venadillo (Tolima),2.0,15.0
76,Valle del Cauca,76869,Vijes,Vijes (Valle del cauca),2.0,15.0
15,Boyacá,15204,Cómbita,Cómbita (Boyacá),2.0,15.0
18,Caquetá,18753,San Vicente del Caguán,San Vicente del Caguán (Caquetá),8.0,15.0
27,Chocó,27050,Atrato,Atrato (Chocó),1.0,15.0
50,Meta,50606,Restrepo,Restrepo (Meta),3.0,15.0
54,Norte de Santander,54385,La Esperanza,La Esperanza (Norte de Santander),2.0,15.0
47,Magdalena,47570,Puebloviejo,Puebloviejo (Magdalena),5.0,15.0
54,Norte de Santander,54599,Ragonvalia,Ragonvalia (Norte de Santander),1.0,15.0
73,Tolima,73030,Ambalema,Ambalema (Tolima),1.0,15.0
85,Casanare,85230,Orocué,Orocué (Casanare),2.0,15.0
5,Antioquia,5129,Caldas,Caldas (Antioquia),13.0,15.0
8,Atlántico,8849,Usiacurí,Usiacurí (Atlántico),2.0,15.0
25,Cundinamarca,25426,Machetá,Machetá (Cundinamarca),1.0,15.0
25,Cundinamarca,25781,Sutatausa,Sutatausa (Cundinamarca),1.0,15.0
13,Bolívar,13650,San Fernando,San Fernando (Bolívar),2.0,15.0
25,Cundinamarca,25491,Nocaima,Nocaima (Cundinamarca),1.0,15.0
5,Antioquia,5088,Bello,Bello (Antioquia),91.0,16.0
66,Risaralda,66170,Dosquebradas,Dosquebradas (Risaralda),37.0,16.0
17,Caldas,17388,La Merced,La Merced (Caldas),1.0,16.0
